0,3.6333333333333337
1,3.6333333333333337
2,-4.333333333333334
3,-4.366666666666666
4,-5
5,-5
6,-5.366666666666666
7,-5.366666666666666
8,-5.366666666666666
9,-6.3
10,-6.366666666666666
11,-6.366666666666666
12,-6.366666666666666
13,-6.366666666666666
14,-6.366666666666666
15,-6.366666666666666
16,-6.366666666666666
17,-6.366666666666666
18,-6.366666666666666
19,-6.366666666666666
20,-6.366666666666666
21,-6.366666666666666
22,-6.366666666666666
23,-6.366666666666666
24,-6.366666666666666
25,-6.366666666666666
26,-6.366666666666666
27,-6.366666666666666
28,-6.366666666666666
29,-6.366666666666666
30,-6.366666666666666
31,-6.366666666666666
32,-6.366666666666666
33,-6.366666666666666
34,-6.366666666666666
35,-6.366666666666666
36,-6.366666666666666
37,-6.366666666666666
38,-6.366666666666666
39,-6.366666666666666
40,-6.366666666666666
41,-6.366666666666666
42,-6.366666666666666
43,-6.366666666666666
44,-6.366666666666666
45,-6.366666666666666
46,-6.366666666666666
47,-6.366666666666666
48,-6.366666666666666
49,-6.366666666666666
50,-6.366666666666666
51,-6.366666666666666
52,-6.366666666666666
53,-6.366666666666666
54,-6.366666666666666
55,-6.366666666666666
56,-6.366666666666666
57,-6.366666666666666
58,-6.366666666666666
59,-6.366666666666666
60,-6.366666666666666
61,-6.366666666666666
62,-6.366666666666666
63,-6.366666666666666
64,-6.366666666666666
65,-6.366666666666666
66,-6.366666666666666
67,-6.366666666666666
68,-6.366666666666666
69,-6.366666666666666
70,-6.366666666666666
71,-6.366666666666666
72,-6.366666666666666
73,-6.366666666666666
74,-6.366666666666666
75,-6.366666666666666
76,-6.366666666666666
77,-6.366666666666666
78,-6.366666666666666
79,-6.366666666666666
80,-6.366666666666666
81,-6.366666666666666
82,-6.366666666666666
83,-6.366666666666666
84,-6.366666666666666
85,-6.366666666666666
86,-6.366666666666666
87,-6.366666666666666
88,-6.366666666666666
89,-6.366666666666666
90,-6.366666666666666
91,-6.366666666666666
92,-6.366666666666666
93,-6.366666666666666
94,-6.366666666666666
95,-6.366666666666666
96,-6.366666666666666
97,-6.366666666666666
98,-6.366666666666666
99,-6.366666666666666
100,-6.366666666666666
101,-6.366666666666666
102,-6.366666666666666
103,-6.366666666666666
104,-6.366666666666666
105,-6.366666666666666
106,-6.366666666666666
107,-6.366666666666666
108,-6.366666666666666
109,-6.366666666666666
110,-6.366666666666666
111,-6.366666666666666
112,-6.366666666666666
113,-6.366666666666666
114,-6.366666666666666
115,-6.366666666666666
116,-6.366666666666666
117,-6.366666666666666
118,-6.366666666666666
119,-6.366666666666666
120,-6.366666666666666
121,-6.366666666666666
122,-6.366666666666666
123,-6.366666666666666
124,-6.366666666666666
125,-6.366666666666666
126,-6.366666666666666
127,-6.366666666666666
128,-6.366666666666666
129,-6.366666666666666
130,-6.366666666666666
131,-6.366666666666666
132,-6.366666666666666
133,-6.366666666666666
134,-6.533333333333332
135,-6.533333333333332
136,-6.533333333333332
137,-6.533333333333332
138,-6.533333333333332
139,-6.533333333333332
140,-6.533333333333332
141,-7.199999999999999
142,-7.199999999999999
143,-11.366666666666667
144,-11.366666666666667
145,-11.366666666666667
146,-12.133333333333333
147,-12.133333333333333
148,-12.733333333333333
149,-13.333333333333334
150,-13.533333333333331
151,-13.533333333333331
152,-14.533333333333331
153,-15.533333333333331
154,-16.53333333333333
155,-16.733333333333334
156,-18.53333333333333
157,-18.53333333333333
158,-18.866666666666667
159,-18.866666666666667
160,-21.53333333333333
161,-22.333333333333336
162,-22.53333333333333
163,-22.666666666666664
164,-23.666666666666664
165,-24.166666666666664
166,-24.333333333333336
167,-24.333333333333336
168,-24.333333333333336
169,-24.333333333333336
170,-24.5
171,-24.5
172,-24.5
173,-24.5
174,-24.5
175,-24.5
176,-24.5
177,-24.5
178,-24.5
179,-24.5
180,-24.5
181,-24.5
182,-24.5
183,-24.5
184,-24.5
185,-24.5
186,-24.5
187,-24.5
188,-24.5
189,-24.5
190,-24.5
191,-24.5
192,-24.5
193,-24.5
194,-24.5
195,-24.5
196,-24.5
197,-24.5
198,-24.666666666666664
199,-24.666666666666664
